transect,year,plot,meas_est,rdm,soil,slope_class,landform,habitat
AL1,2001,4,2,10,Txc,2,Plains,1
AL1,2001,5,2,13,Txc,2,Plains,1
AL1,2002,1,1,4,Txc,1,Plains,1
AL1,2002,2,1,7,Txc,1,Plains,1
AL1,2002,3,1,15,Txc,2,Plains,1
AL1,2002,4,1,9,Txc,2,Plains,1
AL1,2002,5,1,5,Txc,2,Plains,1
AL1,2002,1,2,7,Txc,2,Plains,1
AL1,2002,2,2,18,Txc,2,Plains,1
AL1,2002,3,2,20,Txc,2,Plains,1
AL1,2002,4,2,18,Txc,2,Plains,1
AL1,2002,5,2,20,Txc,2,Plains,1
AL1,2003,1,1,4,Txc,1,Plains,1
AL1,2003,2,1,5,Txc,1,Plains,1
AL1,2003,3,1,9,Txc,2,Plains,1
AL1,2003,4,1,7,Txc,2,Plains,1
AL1,2003,5,1,9,Txc,2,Plains,1
AL1,2003,1,2,7,Txc,2,Plains,1
AL1,2003,2,2,8,Txc,2,Plains,1
AL1,2003,3,2,8,Txc,2,Plains,1
AL1,2003,4,2,11,Txc,2,Plains,1
AL1,2003,5,2,9,Txc,2,Plains,1
AL1,2004,1,1,4,Txc,1,Plains,1
AL1,2004,2,1,1,Txc,1,Plains,1
AL1,2004,3,1,5,Txc,2,Plains,1
AL1,2004,4,1,5,Txc,2,Plains,1
AL1,2004,5,1,20,Txc,2,Plains,1
AL1,2004,1,2,4,Txc,2,Plains,1
AL1,2004,2,2,8,Txc,2,Plains,1
AL1,2004,3,2,16,Txc,2,Plains,1
AL1,2004,4,2,22,Txc,2,Plains,1
AL1,2004,5,2,6,Txc,2,Plains,1
AL1,2005,1,1,23,Txc,1,Plains,1
AL1,2005,2,1,12.5,Txc,1,Plains,1
AL1,2005,3,1,16,Txc,2,Plains,1
AL1,2005,4,1,39,Txc,2,Plains,1
AL1,2005,5,1,11,Txc,2,Plains,1
AL1,2005,1,2,12,Txc,2,Plains,1
AL1,2005,2,2,8,Txc,2,Plains,1
AL1,2005,3,2,10,Txc,2,Plains,1
AL1,2005,4,2,20,Txc,2,Plains,1
AL1,2005,5,2,30,Txc,2,Plains,1
AL1,2014,1,1,10,Txc,1,Plains,1
AL1,2014,2,1,6,Txc,1,Plains,1
AL1,2014,3,1,4.5,Txc,2,Plains,1
AL1,2014,4,1,6.5,Txc,2,Plains,1
AL1,2014,5,1,3.5,Txc,2,Plains,1
AL1,2014,1,2,2,Txc,2,Plains,1
AL1,2014,2,2,1,Txc,2,Plains,1
AL1,2014,3,2,1.5,Txc,2,Plains,1
AL1,2014,4,2,2.5,Txc,2,Plains,1
AL1,2014,5,2,2,Txc,2,Plains,1
PK2,1997,1,1,5.5,Kc,1,Plains,1
PK2,1997,2,1,3,Kc,1,Plains,1
PK2,1997,3,1,10.5,Kc,1,Plains,1
PK2,1997,4,1,13.5,Kc,1,Plains,1
PK2,1997,5,1,4,Kc,1,Plains,1
PK2,1997,1,2,,Kc,1,Plains,1
PK2,1997,2,2,,Kc,1,Plains,1
PK2,1997,3,2,,Kc,2,Plains,1
PK2,1997,4,2,,Kc,1,Plains,1
PK2,1997,5,2,,Kc,1,Plains,1
PK2,1998,1,1,4,Kc,1,Plains,1
PK2,1998,2,1,31,Kc,1,Plains,1
PK2,1998,3,1,10,Kc,1,Plains,1
PK2,1998,4,1,13.5,Kc,1,Plains,1
PK2,1998,5,1,20,Kc,1,Plains,1
PK2,1998,1,2,,Kc,1,Plains,1
PK2,1998,2,2,,Kc,1,Plains,1
PK2,1998,3,2,,Kc,2,Plains,1
PK2,1998,4,2,,Kc,1,Plains,1
PK2,1998,5,2,,Kc,1,Plains,1
PK2,1999,1,1,9,Kc,1,Plains,1
PK2,1999,2,1,6,Kc,1,Plains,1
PK2,1999,3,1,7,Kc,1,Plains,1
PK2,1999,4,1,12.5,Kc,1,Plains,1
PK2,1999,5,1,13.5,Kc,1,Plains,1
PK2,1999,1,2,,Kc,1,Plains,1
PK2,1999,2,2,,Kc,1,Plains,1
PK2,1999,3,2,,Kc,2,Plains,1
PK2,1999,4,2,,Kc,1,Plains,1
PK2,1999,5,2,,Kc,1,Plains,1
PK2,2000,1,1,9.5,Kc,1,Plains,1
PK2,2000,2,1,8.5,Kc,1,Plains,1
PK2,2000,3,1,7,Kc,1,Plains,1
PK2,2000,4,1,8,Kc,1,Plains,1
PK2,2000,5,1,11,Kc,1,Plains,1
PK2,2000,1,2,7,Kc,1,Plains,1
PK2,2000,2,2,3,Kc,1,Plains,1
PK2,2000,3,2,3,Kc,2,Plains,1
PK2,2000,4,2,7,Kc,1,Plains,1
PK2,2000,5,2,19,Kc,1,Plains,1
PK2,2001,1,1,13,Kc,1,Plains,1
PK2,2001,2,1,8,Kc,1,Plains,1
PK2,2001,3,1,31,Kc,1,Plains,1
PK2,2001,4,1,26,Kc,1,Plains,1
PK2,2001,5,1,18,Kc,1,Plains,1
PK2,2001,1,2,8,Kc,1,Plains,1
PK2,2001,2,2,16,Kc,1,Plains,1
PK2,2001,3,2,18,Kc,2,Plains,1
PK2,2001,4,2,14,Kc,1,Plains,1
PK2,2001,5,2,15,Kc,1,Plains,1
PK2,2002,1,1,9,Kc,1,Plains,1
PK2,2002,2,1,3,Kc,1,Plains,1
PK2,2002,3,1,7,Kc,1,Plains,1
PK2,2002,4,1,17,Kc,1,Plains,1
PK2,2002,5,1,20,Kc,1,Plains,1
PK2,2002,1,2,9,Kc,1,Plains,1
PK2,2002,2,2,12,Kc,1,Plains,1
PK2,2002,3,2,6,Kc,2,Plains,1
PK2,2002,4,2,10,Kc,1,Plains,1
PK2,2002,5,2,14,Kc,1,Plains,1
PK2,2003,1,1,,Kc,1,Plains,1
PK2,2003,2,1,,Kc,1,Plains,1
PK2,2003,3,1,,Kc,1,Plains,1
PK2,2003,4,1,,Kc,1,Plains,1
PK2,2003,5,1,,Kc,1,Plains,1
PK2,2003,1,2,,Kc,1,Plains,1
PK2,2003,2,2,,Kc,1,Plains,1
PK2,2003,3,2,,Kc,2,Plains,1
PK2,2003,4,2,,Kc,1,Plains,1
PK2,2003,5,2,,Kc,1,Plains,1
PK2,2004,1,1,5.5,Kc,1,Plains,1
PK2,2004,2,1,3,Kc,1,Plains,1
PK2,2004,3,1,10,Kc,1,Plains,1
PK2,2004,4,1,8,Kc,1,Plains,1
PK2,2004,5,1,7,Kc,1,Plains,1
PK2,2004,1,2,8,Kc,1,Plains,1
PK2,2004,2,2,8,Kc,1,Plains,1
PK2,2004,3,2,12,Kc,2,Plains,1
PK2,2004,4,2,10,Kc,1,Plains,1
PK2,2004,5,2,10,Kc,1,Plains,1
PK2,2005,1,1,7,Kc,1,Plains,1
PK2,2005,2,1,12.5,Kc,1,Plains,1
PK2,2005,3,1,31.5,Kc,1,Plains,1
PK2,2005,4,1,16.5,Kc,1,Plains,1
PK2,2005,5,1,22,Kc,1,Plains,1
PK2,2005,1,2,7,Kc,1,Plains,1
PK2,2005,2,2,10,Kc,1,Plains,1
PK2,2005,3,2,10,Kc,2,Plains,1
PK2,2005,4,2,20,Kc,1,Plains,1
PK2,2005,5,2,20,Kc,1,Plains,1
PK2,2014,1,1,8,Kc,1,Plains,1
PK2,2014,2,1,5.5,Kc,1,Plains,1
PK2,2014,3,1,4,Kc,1,Plains,1
PK2,2014,4,1,5,Kc,1,Plains,1
PK2,2014,5,1,4.5,Kc,1,Plains,1
PK2,2014,1,2,3,Kc,1,Plains,1
PK2,2014,2,2,2,Kc,1,Plains,1
PK2,2014,3,2,4,Kc,2,Plains,1
PK2,2014,4,2,4.5,Kc,1,Plains,1
PK2,2014,5,2,3.5,Kc,1,Plains,1
PL3,1997,1,1,1.5,TuB,1,Plains,1
PL3,1997,2,1,3,TuB,1,Plains,1
PL3,1997,3,1,4,TuB,1,Plains,1
PL3,1997,4,1,3,TuB,1,Plains,1
PL3,1997,5,1,12.5,TuB,1,Plains,1
PL3,1997,1,2,,TuB,1,Plains,1
PL3,1997,2,2,,TuB,1,Plains,1
PL3,1997,3,2,,TuB,1,Plains,1
PL3,1997,4,2,,TuB,1,Plains,1
PL3,1997,5,2,,TuB,1,Plains,1
PL3,1998,1,1,3,TuB,1,Plains,1
PL3,1998,2,1,5.5,TuB,1,Plains,1
PL3,1998,3,1,2.5,TuB,1,Plains,1
PL3,1998,4,1,10.5,TuB,1,Plains,1
PL3,1998,5,1,3.5,TuB,1,Plains,1
PL3,1998,1,2,,TuB,1,Plains,1
PL3,1998,2,2,,TuB,1,Plains,1
PL3,1998,3,2,,TuB,1,Plains,1
PL3,1998,4,2,,TuB,1,Plains,1
PL3,1998,5,2,,TuB,1,Plains,1
PL3,1999,1,1,1,TuB,1,Plains,1
PL3,1999,2,1,2.5,TuB,1,Plains,1
PL3,1999,3,1,11,TuB,1,Plains,1
PL3,1999,4,1,3,TuB,1,Plains,1
PL3,1999,5,1,55,TuB,1,Plains,1
PL3,1999,1,2,,TuB,1,Plains,1
PL3,1999,2,2,,TuB,1,Plains,1
PL3,1999,3,2,,TuB,1,Plains,1
PL3,1999,4,2,,TuB,1,Plains,1
PL3,1999,5,2,,TuB,1,Plains,1
PL3,2000,1,1,5.5,TuB,1,Plains,1
PL3,2000,2,1,3.5,TuB,1,Plains,1
PL3,2000,3,1,3.5,TuB,1,Plains,1
PL3,2000,4,1,4.5,TuB,1,Plains,1
PL3,2000,5,1,4,TuB,1,Plains,1
PL3,2000,1,2,4.2,TuB,1,Plains,1
PL3,2000,2,2,2,TuB,1,Plains,1
PL3,2000,3,2,3,TuB,1,Plains,1
PL3,2000,4,2,2.5,TuB,1,Plains,1
PL3,2000,5,2,4,TuB,1,Plains,1
PL3,2001,1,1,12.5,TuB,1,Plains,1
PL3,2001,2,1,10,TuB,1,Plains,1
PL3,2001,3,1,14,TuB,1,Plains,1
PL3,2001,4,1,13,TuB,1,Plains,1
PL3,2001,5,1,12,TuB,1,Plains,1
PL3,2001,1,2,15,TuB,1,Plains,1
PL3,2001,2,2,15,TuB,1,Plains,1
PL3,2001,3,2,12,TuB,1,Plains,1
PL3,2001,4,2,13,TuB,1,Plains,1
PL3,2001,5,2,16,TuB,1,Plains,1
PL3,2002,1,1,3.5,TuB,1,Plains,1
PL3,2002,2,1,6,TuB,1,Plains,1
PL3,2002,3,1,3.5,TuB,1,Plains,1
PL3,2002,4,1,6,TuB,1,Plains,1
PL3,2002,5,1,3,TuB,1,Plains,1
PL3,2002,1,2,4.5,TuB,1,Plains,1
PL3,2002,2,2,3,TuB,1,Plains,1
PL3,2002,3,2,3,TuB,1,Plains,1
PL3,2002,4,2,2,TuB,1,Plains,1
PL3,2002,5,2,8,TuB,1,Plains,1
PL3,2003,1,1,2,TuB,1,Plains,1
PL3,2003,2,1,5,TuB,1,Plains,1
PL3,2003,3,1,4,TuB,1,Plains,1
PL3,2003,4,1,8,TuB,1,Plains,1
PL3,2003,5,1,6,TuB,1,Plains,1
PL3,2003,1,2,3,TuB,1,Plains,1
PL3,2003,2,2,7,TuB,1,Plains,1
PL3,2003,3,2,3,TuB,1,Plains,1
PL3,2003,4,2,8,TuB,1,Plains,1
PL3,2003,5,2,10,TuB,1,Plains,1
PL3,2004,1,1,10,TuB,1,Plains,1
PL3,2004,2,1,5.5,TuB,1,Plains,1
PL3,2004,3,1,8.5,TuB,1,Plains,1
PL3,2004,4,1,3,TuB,1,Plains,1
PL3,2004,5,1,14,TuB,1,Plains,1
PL3,2004,1,2,1,TuB,1,Plains,1
PL3,2004,2,2,8,TuB,1,Plains,1
PL3,2004,3,2,8,TuB,1,Plains,1
PL3,2004,4,2,6,TuB,1,Plains,1
PL3,2004,5,2,6,TuB,1,Plains,1
PL3,2005,1,1,9,TuB,1,Plains,1
PL3,2005,2,1,21.5,TuB,1,Plains,1
PL3,2005,3,1,8,TuB,1,Plains,1
PL3,2005,4,1,17,TuB,1,Plains,1
PL3,2005,5,1,5,TuB,1,Plains,1
PL3,2005,1,2,10,TuB,1,Plains,1
PL3,2005,2,2,8,TuB,1,Plains,1
PL3,2005,3,2,15,TuB,1,Plains,1
PL3,2005,4,2,8,TuB,1,Plains,1
PL3,2005,5,2,15,TuB,1,Plains,1
PL3,2014,1,1,5.5,TuB,1,Plains,1
PL3,2014,2,1,4,TuB,1,Plains,1
PL3,2014,3,1,4,TuB,1,Plains,1
PL3,2014,4,1,2.5,TuB,1,Plains,1
PL3,2014,5,1,3.5,TuB,1,Plains,1
PL3,2014,1,2,4,TuB,1,Plains,1
PL3,2014,2,2,5.5,TuB,1,Plains,1
PL3,2014,3,2,3.5,TuB,1,Plains,1
PL3,2014,4,2,2,TuB,1,Plains,1
PL3,2014,5,2,6.5,TuB,1,Plains,1
PL4,1997,1,1,0.5,TuB,1,Plains,1
PL4,1997,2,1,40.5,TuB,1,Plains,1
PL4,1997,3,1,1.5,TuB,1,Plains,1
PL4,1997,4,1,5.5,TuB,1,Plains,1
PL4,1997,5,1,3,TuB,1,Plains,1
PL4,1997,1,2,,TuB,1,Plains,1
PL4,1997,2,2,,TuB,1,Plains,1
PL4,1997,3,2,,TuB,1,Plains,1
PL4,1997,4,2,,TuB,1,Plains,1
PL4,1997,5,2,,TuB,1,Plains,1
PL4,1998,1,1,7.5,TuB,1,Plains,1
PL4,1998,2,1,7.5,TuB,1,Plains,1
PL4,1998,3,1,14.5,TuB,1,Plains,1
PL4,1998,4,1,6.5,TuB,1,Plains,1
PL4,1998,5,1,9.5,TuB,1,Plains,1
PL4,1998,1,2,,TuB,1,Plains,1
PL4,1998,2,2,,TuB,1,Plains,1
PL4,1998,3,2,,TuB,1,Plains,1
PL4,1998,4,2,,TuB,1,Plains,1
PL4,1998,5,2,,TuB,1,Plains,1
PL4,1999,1,1,2.5,TuB,1,Plains,1
PL4,1999,2,1,12.5,TuB,1,Plains,1
PL4,1999,3,1,11.5,TuB,1,Plains,1
PL4,1999,4,1,4,TuB,1,Plains,1
PL4,1999,5,1,4,TuB,1,Plains,1
PL4,1999,1,2,,TuB,1,Plains,1
PL4,1999,2,2,,TuB,1,Plains,1
PL4,1999,3,2,,TuB,1,Plains,1
PL4,1999,4,2,,TuB,1,Plains,1
PL4,1999,5,2,,TuB,1,Plains,1
PL4,2000,1,1,5.5,TuB,1,Plains,1
PL4,2000,2,1,6.5,TuB,1,Plains,1
PL4,2000,3,1,5.5,TuB,1,Plains,1
PL4,2000,4,1,2,TuB,1,Plains,1
PL4,2000,5,1,13.5,TuB,1,Plains,1
PL4,2000,1,2,1,TuB,1,Plains,1
PL4,2000,2,2,8,TuB,1,Plains,1
PL4,2000,3,2,6,TuB,1,Plains,1
PL4,2000,4,2,7,TuB,1,Plains,1
PL4,2000,5,2,5,TuB,1,Plains,1
PL4,2001,1,1,10.5,TuB,1,Plains,1
PL4,2001,2,1,12,TuB,1,Plains,1
PL4,2001,3,1,16,TuB,1,Plains,1
PL4,2001,4,1,14,TuB,1,Plains,1
PL4,2001,5,1,11,TuB,1,Plains,1
PL4,2001,1,2,10,TuB,1,Plains,1
PL4,2001,2,2,11,TuB,1,Plains,1
PL4,2001,3,2,13,TuB,1,Plains,1
PL4,2001,4,2,10,TuB,1,Plains,1
PL4,2001,5,2,11,TuB,1,Plains,1
PL4,2002,1,1,2,TuB,1,Plains,1
PL4,2002,2,1,5,TuB,1,Plains,1
PL4,2002,3,1,5,TuB,1,Plains,1
PL4,2002,4,1,3,TuB,1,Plains,1
PL4,2002,5,1,6,TuB,1,Plains,1
PL4,2002,1,2,3.5,TuB,1,Plains,1
PL4,2002,2,2,5.5,TuB,1,Plains,1
PL4,2002,3,2,5,TuB,1,Plains,1
PL4,2002,4,2,7,TuB,1,Plains,1
PL4,2002,5,2,5,TuB,1,Plains,1
PL4,2003,1,1,9,TuB,1,Plains,1
PL4,2003,2,1,13,TuB,1,Plains,1
PL4,2003,3,1,8,TuB,1,Plains,1
PL4,2003,4,1,6,TuB,1,Plains,1
PL4,2003,5,1,5,TuB,1,Plains,1
PL4,2003,1,2,6,TuB,1,Plains,1
PL4,2003,2,2,7,TuB,1,Plains,1
PL4,2003,3,2,6,TuB,1,Plains,1
PL4,2003,4,2,7,TuB,1,Plains,1
PL4,2003,5,2,7,TuB,1,Plains,1
PL4,2004,1,1,7,TuB,1,Plains,1
PL4,2004,2,1,4,TuB,1,Plains,1
PL4,2004,3,1,4,TuB,1,Plains,1
PL4,2004,4,1,5,TuB,1,Plains,1
PL4,2004,5,1,2,TuB,1,Plains,1
PL4,2004,1,2,6,TuB,1,Plains,1
PL4,2004,2,2,10,TuB,1,Plains,1
PL4,2004,3,2,15,TuB,1,Plains,1
PL4,2004,4,2,5,TuB,1,Plains,1
PL4,2004,5,2,6,TuB,1,Plains,1
PL4,2005,1,1,5,TuB,1,Plains,1
PL4,2005,2,1,8,TuB,1,Plains,1
PL4,2005,3,1,11,TuB,1,Plains,1
PL4,2005,4,1,12,TuB,1,Plains,1
PL4,2005,5,1,6,TuB,1,Plains,1
PL4,2005,1,2,8,TuB,1,Plains,1
PL4,2005,2,2,8,TuB,1,Plains,1
PL4,2005,3,2,7,TuB,1,Plains,1
PL4,2005,4,2,9,TuB,1,Plains,1
PL4,2005,5,2,7,TuB,1,Plains,1
PL4,2014,1,1,7,TuB,1,Plains,1
PL4,2014,2,1,2.5,TuB,1,Plains,1
PL4,2014,3,1,4,TuB,1,Plains,1
PL4,2014,4,1,4,TuB,1,Plains,1
PL4,2014,5,1,10.5,TuB,1,Plains,1
PL4,2014,1,2,6.5,TuB,1,Plains,1
PL4,2014,2,2,7,TuB,1,Plains,1
PL4,2014,3,2,2.5,TuB,1,Plains,1
PL4,2014,4,2,7,TuB,1,Plains,1
PL4,2014,5,2,12.5,TuB,1,Plains,1
BK5,1997,1,1,1,TuB,1,Plains,1
BK5,1997,2,1,3,TuB,1,Plains,1
BK5,1997,3,1,9.5,TuB,1,Plains,1
BK5,1997,4,1,16.5,TuB,1,Plains,1
BK5,1997,5,1,2.5,TuB,1,Plains,1
BK5,1997,1,2,,TuB,1,Plains,1
BK5,1997,2,2,,TuB,1,Plains,1
BK5,1997,3,2,,TuB,1,Plains,1
BK5,1997,4,2,,TuB,1,Plains,1
BK5,1997,5,2,,TuB,1,Plains,1
BK5,1998,1,1,7.5,TuB,1,Plains,1
BK5,1998,2,1,15.5,TuB,1,Plains,1
BK5,1998,3,1,13.5,TuB,1,Plains,1
BK5,1998,4,1,10,TuB,1,Plains,1
BK5,1998,5,1,11,TuB,1,Plains,1
BK5,1998,1,2,,TuB,1,Plains,1
BK5,1998,2,2,,TuB,1,Plains,1
BK5,1998,3,2,,TuB,1,Plains,1
BK5,1998,4,2,,TuB,1,Plains,1
BK5,1998,5,2,,TuB,1,Plains,1
BK5,1999,1,1,,TuB,1,Plains,1
BK5,1999,2,1,,TuB,1,Plains,1
BK5,1999,3,1,,TuB,1,Plains,1
BK5,1999,4,1,,TuB,1,Plains,1
BK5,1999,5,1,,TuB,1,Plains,1
BK5,1999,1,2,,TuB,1,Plains,1
BK5,1999,2,2,,TuB,1,Plains,1
BK5,1999,3,2,,TuB,1,Plains,1
BK5,1999,4,2,,TuB,1,Plains,1
BK5,1999,5,2,,TuB,1,Plains,1
BK5,2000,1,1,,TuB,1,Plains,1
BK5,2000,2,1,,TuB,1,Plains,1
BK5,2000,3,1,,TuB,1,Plains,1
BK5,2000,4,1,,TuB,1,Plains,1
BK5,2000,5,1,,TuB,1,Plains,1
BK5,2000,1,2,,TuB,1,Plains,1
BK5,2000,2,2,,TuB,1,Plains,1
BK5,2000,3,2,,TuB,1,Plains,1
BK5,2000,4,2,,TuB,1,Plains,1
BK5,2000,5,2,,TuB,1,Plains,1
BK5,2001,1,1,9,TuB,1,Plains,1
BK5,2001,2,1,9.5,TuB,1,Plains,1
BK5,2001,3,1,10,TuB,1,Plains,1
BK5,2001,4,1,20.5,TuB,1,Plains,1
BK5,2001,5,1,9.5,TuB,1,Plains,1
BK5,2001,1,2,10,TuB,1,Plains,1
BK5,2001,2,2,10,TuB,1,Plains,1
BK5,2001,3,2,11,TuB,1,Plains,1
BK5,2001,4,2,11,TuB,1,Plains,1
BK5,2001,5,2,10,TuB,1,Plains,1
BK5,2002,1,1,2,TuB,1,Plains,1
BK5,2002,2,1,1,TuB,1,Plains,1
BK5,2002,3,1,4,TuB,1,Plains,1
BK5,2002,4,1,5,TuB,1,Plains,1
BK5,2002,5,1,5,TuB,1,Plains,1
BK5,2002,1,2,5.5,TuB,1,Plains,1
BK5,2002,2,2,4,TuB,1,Plains,1
BK5,2002,3,2,3.5,TuB,1,Plains,1
BK5,2002,4,2,28,TuB,1,Plains,1
BK5,2002,5,2,3.5,TuB,1,Plains,1
BK5,2003,1,1,2,TuB,1,Plains,1
BK5,2003,2,1,10.5,TuB,1,Plains,1
BK5,2003,3,1,6,TuB,1,Plains,1
BK5,2003,4,1,29,TuB,1,Plains,1
BK5,2003,5,1,15,TuB,1,Plains,1
BK5,2003,1,2,4,TuB,1,Plains,1
BK5,2003,2,2,1,TuB,1,Plains,1
BK5,2003,3,2,3,TuB,1,Plains,1
BK5,2003,4,2,6,TuB,1,Plains,1
BK5,2003,5,2,3,TuB,1,Plains,1
BK5,2004,1,1,6,TuB,1,Plains,1
BK5,2004,2,1,2,TuB,1,Plains,1
BK5,2004,3,1,8,TuB,1,Plains,1
BK5,2004,4,1,6,TuB,1,Plains,1
BK5,2004,5,1,5,TuB,1,Plains,1
BK5,2004,1,2,5,TuB,1,Plains,1
BK5,2004,2,2,6,TuB,1,Plains,1
BK5,2004,3,2,7,TuB,1,Plains,1
BK5,2004,4,2,30,TuB,1,Plains,1
BK5,2004,5,2,8,TuB,1,Plains,1
BK5,2005,1,1,19,TuB,1,Plains,1
BK5,2005,2,1,8,TuB,1,Plains,1
BK5,2005,3,1,21,TuB,1,Plains,1
BK5,2005,4,1,26,TuB,1,Plains,1
BK5,2005,5,1,8,TuB,1,Plains,1
BK5,2005,1,2,10,TuB,1,Plains,1
BK5,2005,2,2,15,TuB,1,Plains,1
BK5,2005,3,2,10,TuB,1,Plains,1
BK5,2005,4,2,12,TuB,1,Plains,1
BK5,2005,5,2,9,TuB,1,Plains,1
BK5,2014,1,1,2,TuB,1,Plains,1
BK5,2014,2,1,1.5,TuB,1,Plains,1
BK5,2014,3,1,1.5,TuB,1,Plains,1
BK5,2014,4,1,1,TuB,1,Plains,1
BK5,2014,5,1,1.5,TuB,1,Plains,1
BK5,2014,1,2,2.5,TuB,1,Plains,1
BK5,2014,2,2,2.5,TuB,1,Plains,1
BK5,2014,3,2,8,TuB,1,Plains,1
BK5,2014,4,2,2,TuB,1,Plains,1
BK5,2014,5,2,3,TuB,1,Plains,1
NF6,1997,1,1,3,ThE,3,Frontslope,3
NF6,1997,2,1,18,ThE,3,Frontslope,1
NF6,1997,3,1,24.5,ThE,3,Frontslope,3
NF6,1997,4,1,20,ThE,3,Frontslope,1
NF6,1997,5,1,2,ThE,3,Frontslope,1
NF6,1997,1,2,,ThE,3,Frontslope,3
NF6,1997,2,2,,ThE,3,Frontslope,3
NF6,1997,3,2,,TgD,3,Frontslope,1
NF6,1997,4,2,,TgD,4,Frontslope,1
NF6,1997,5,2,,TgD,4,Frontslope,1
NF6,1998,1,1,10,ThE,3,Frontslope,3
NF6,1998,2,1,7.5,ThE,3,Frontslope,1
NF6,1998,3,1,25,ThE,3,Frontslope,3
NF6,1998,4,1,14.5,ThE,3,Frontslope,1
NF6,1998,5,1,29,ThE,3,Frontslope,1
NF6,1998,1,2,,ThE,3,Frontslope,3
NF6,1998,2,2,,ThE,3,Frontslope,3
NF6,1998,3,2,,TgD,3,Frontslope,1
NF6,1998,4,2,,TgD,4,Frontslope,1
NF6,1998,5,2,,TgD,4,Frontslope,1
NF6,1999,1,1,13,ThE,3,Frontslope,3
NF6,1999,2,1,28.5,ThE,3,Frontslope,1
NF6,1999,3,1,11,ThE,3,Frontslope,3
NF6,1999,4,1,40,ThE,3,Frontslope,1
NF6,1999,5,1,20,ThE,3,Frontslope,1
NF6,1999,1,2,,ThE,3,Frontslope,3
NF6,1999,2,2,,ThE,3,Frontslope,3
NF6,1999,3,2,,TgD,3,Frontslope,1
NF6,1999,4,2,,TgD,4,Frontslope,1
NF6,1999,5,2,,TgD,4,Frontslope,1
NF6,2000,1,1,6,ThE,3,Frontslope,3
NF6,2000,2,1,7.5,ThE,3,Frontslope,1
NF6,2000,3,1,22.5,ThE,3,Frontslope,3
NF6,2000,4,1,8,ThE,3,Frontslope,1
NF6,2000,5,1,35,ThE,3,Frontslope,1
NF6,2000,1,2,2,ThE,3,Frontslope,3
NF6,2000,2,2,7,ThE,3,Frontslope,3
NF6,2000,3,2,11,TgD,3,Frontslope,1
NF6,2000,4,2,5,TgD,4,Frontslope,1
NF6,2000,5,2,4,TgD,4,Frontslope,1
NF6,2001,1,1,17,ThE,3,Frontslope,3
NF6,2001,2,1,18,ThE,3,Frontslope,1
NF6,2001,3,1,12,ThE,3,Frontslope,3
NF6,2001,4,1,13,ThE,3,Frontslope,1
NF6,2001,5,1,12,ThE,3,Frontslope,1
NF6,2001,1,2,18,ThE,3,Frontslope,3
NF6,2001,2,2,20,ThE,3,Frontslope,3
NF6,2001,3,2,11,TgD,3,Frontslope,1
NF6,2001,4,2,23,TgD,4,Frontslope,1
NF6,2001,5,2,16,TgD,4,Frontslope,1
NF6,2002,1,1,7.5,ThE,3,Frontslope,3
