"transect","year","soil","slope_class","landform","habitat","rdm_mean","rdm_sd","rdm_n"
"ML9",1997,"TfD",1,"foothills","grassland",NA,NA,0
"ML9",1997,"TfD",1,"foothills","woodland",2100,424.264068711929,2
"ML9",1997,"TgD",1,"foothills","grassland",1400,NA,1
"ML9",1997,"TgD",1,"foothills","woodland",8575,10146.982310027,2
"ML9",1998,"TfD",1,"foothills","grassland",NA,NA,0
"ML9",1998,"TfD",1,"foothills","woodland",1525,601.040764008565,2
"ML9",1998,"TgD",1,"foothills","grassland",4900,NA,1
"ML9",1998,"TgD",1,"foothills","woodland",1275,883.883476483184,2
"ML9",1999,"TfD",1,"foothills","grassland",NA,NA,0
"ML9",1999,"TfD",1,"foothills","woodland",1825,742.462120245875,2
"ML9",1999,"TgD",1,"foothills","grassland",1650,NA,1
"ML9",1999,"TgD",1,"foothills","woodland",5075,742.462120245875,2
"ML9",2000,"TfD",1,"foothills","grassland",1400,NA,1
"ML9",2000,"TfD",1,"foothills","woodland",1000,374.165738677394,4
"ML9",2000,"TgD",1,"foothills","grassland",250,NA,1
"ML9",2000,"TgD",1,"foothills","woodland",1575,536.19026473818,4
"ML9",2001,"TfD",1,"foothills","grassland",1100,NA,1
"ML9",2001,"TfD",1,"foothills","woodland",2675,2232.15142855497,4
"ML9",2001,"TgD",1,"foothills","grassland",4700,NA,1
"ML9",2001,"TgD",1,"foothills","woodland",1937.5,335.099487714718,4
"ML9",2002,"TfD",1,"foothills","grassland",800,NA,1
"ML9",2002,"TfD",1,"foothills","woodland",1600,898.146239020499,4
"ML9",2002,"TgD",1,"foothills","grassland",700,NA,1
"ML9",2002,"TgD",1,"foothills","woodland",712.5,225,4
"ML9",2003,"TfD",1,"foothills","grassland",1200,NA,1
"ML9",2003,"TfD",1,"foothills","woodland",775,170.782512765993,4
"ML9",2003,"TgD",1,"foothills","grassland",300,NA,1
"ML9",2003,"TgD",1,"foothills","woodland",850,129.099444873581,4
"ML9",2004,"TfD",1,"foothills","grassland",1000,NA,1
"ML9",2004,"TfD",1,"foothills","woodland",1375,963.932916061417,4
"ML9",2004,"TgD",1,"foothills","grassland",400,NA,1
"ML9",2004,"TgD",1,"foothills","woodland",1450,479.583152331272,4
"ML9",2005,"TfD",1,"foothills","grassland",700,NA,1
"ML9",2005,"TfD",1,"foothills","woodland",1125,512.34753829798,4
"ML9",2005,"TgD",1,"foothills","grassland",900,NA,1
"ML9",2005,"TgD",1,"foothills","woodland",700,81.6496580927726,4
"ML9",2014,"TfD",1,"foothills","grassland",500,NA,1
"ML9",2014,"TfD",1,"foothills","woodland",637.5,332.603367391252,4
"ML9",2014,"TgD",1,"foothills","grassland",650,NA,1
"ML9",2014,"TgD",1,"foothills","woodland",1075,596.517672272443,4
"NF6",1997,"TgD",3,"foothills","grassland",NA,NA,0
"NF6",1997,"TgD",4,"foothills","grassland",NA,NA,0
"NF6",1997,"ThE",3,"foothills","grassland",1333.33333333333,986.576572463249,3
"NF6",1997,"ThE",3,"foothills","woodland",1375,1520.27957955108,2
"NF6",1998,"TgD",3,"foothills","grassland",NA,NA,0
"NF6",1998,"TgD",4,"foothills","grassland",NA,NA,0
"NF6",1998,"ThE",3,"foothills","grassland",1700,1096.58560997307,3
"NF6",1998,"ThE",3,"foothills","woodland",1750,1060.66017177982,2
"NF6",1999,"TgD",3,"foothills","grassland",NA,NA,0
"NF6",1999,"TgD",4,"foothills","grassland",NA,NA,0
"NF6",1999,"ThE",3,"foothills","grassland",2950,1003.74299499424,3
"NF6",1999,"ThE",3,"foothills","woodland",1200,141.42135623731,2
"NF6",2000,"TgD",3,"foothills","grassland",1100,NA,1
"NF6",2000,"TgD",4,"foothills","grassland",450,70.7106781186548,2
"NF6",2000,"ThE",3,"foothills","grassland",1683.33333333333,1573.47810068438,3
"NF6",2000,"ThE",3,"foothills","woodland",937.5,901.272248916312,4
"NF6",2001,"TgD",3,"foothills","grassland",1100,NA,1
"NF6",2001,"TgD",4,"foothills","grassland",1950,494.974746830583,2
"NF6",2001,"ThE",3,"foothills","grassland",1433.33333333333,321.455025366432,3
"NF6",2001,"ThE",3,"foothills","woodland",1675,340.342964277702,4
"NF6",2002,"TgD",3,"foothills","grassland",250,NA,1
"NF6",2002,"TgD",4,"foothills","grassland",150,70.7106781186548,2
"NF6",2002,"ThE",3,"foothills","grassland",416.666666666667,104.083299973307,3
"NF6",2002,"ThE",3,"foothills","woodland",1075,1094.30343141196,4
"NF6",2003,"TgD",3,"foothills","grassland",1000,NA,1
"NF6",2003,"TgD",4,"foothills","grassland",800,141.42135623731,2
"NF6",2003,"ThE",3,"foothills","grassland",833.333333333333,208.166599946613,3
"NF6",2003,"ThE",3,"foothills","woodland",800,244.948974278318,4
"NF6",2004,"TgD",3,"foothills","grassland",700,NA,1
"NF6",2004,"TgD",4,"foothills","grassland",700,141.42135623731,2
"NF6",2004,"ThE",3,"foothills","grassland",883.333333333333,401.040313850532,3
"NF6",2004,"ThE",3,"foothills","woodland",1150,378.593889720018,4
"NF6",2005,"TgD",3,"foothills","grassland",NA,NA,0
"NF6",2005,"TgD",4,"foothills","grassland",NA,NA,0
"NF6",2005,"ThE",3,"foothills","grassland",NA,NA,0
"NF6",2005,"ThE",3,"foothills","woodland",NA,NA,0
"NF6",2014,"TgD",3,"foothills","grassland",150,NA,1
"NF6",2014,"TgD",4,"foothills","grassland",725,530.330085889911,2
"NF6",2014,"ThE",3,"foothills","grassland",1116.66666666667,301.385688667085,3
"NF6",2014,"ThE",3,"foothills","woodland",975,396.862696659689,4
"NV8",1997,"TgD",1,"foothills","grassland",NA,NA,0
"NV8",1997,"TgD",2,"foothills","grassland",400,NA,1
"NV8",1997,"TgD",2,"foothills","woodland",200,NA,1
"NV8",1997,"ThE",1,"foothills","grassland",516.666666666667,375.277674973257,3
"NV8",1998,"TgD",1,"foothills","grassland",NA,NA,0
"NV8",1998,"TgD",2,"foothills","grassland",750,NA,1
"NV8",1998,"TgD",2,"foothills","woodland",800,NA,1
"NV8",1998,"ThE",1,"foothills","grassland",3616.66666666667,2596.31148619216,3
"NV8",1999,"TgD",1,"foothills","grassland",NA,NA,0
"NV8",1999,"TgD",2,"foothills","grassland",1000,NA,1
"NV8",1999,"TgD",2,"foothills","woodland",150,NA,1
"NV8",1999,"ThE",1,"foothills","grassland",2800,2260.53091109146,3
"NV8",2000,"TgD",1,"foothills","grassland",35,21.2132034355964,2
"NV8",2000,"TgD",2,"foothills","grassland",850,636.396103067893,2
"NV8",2000,"TgD",2,"foothills","woodland",1733.33333333333,1001.66528008778,3
"NV8",2000,"ThE",1,"foothills","grassland",1800,529.150262212918,3
"NV8",2001,"TgD",1,"foothills","grassland",600,141.42135623731,2
"NV8",2001,"TgD",2,"foothills","grassland",550,353.553390593274,2
"NV8",2001,"TgD",2,"foothills","woodland",800,264.575131106459,3
"NV8",2001,"ThE",1,"foothills","grassland",1633.33333333333,1527.52523165195,3
"NV8",2002,"TgD",1,"foothills","grassland",800,0,2
"NV8",2002,"TgD",2,"foothills","grassland",575,106.066017177982,2
"NV8",2002,"TgD",2,"foothills","woodland",1000,173.205080756888,3
"NV8",2002,"ThE",1,"foothills","grassland",2400,1216.55250605964,3
"NV8",2003,"TgD",1,"foothills","grassland",450,70.7106781186548,2
"NV8",2003,"TgD",2,"foothills","grassland",750,70.7106781186548,2
"NV8",2003,"TgD",2,"foothills","woodland",966.666666666667,251.661147842358,3
"NV8",2003,"ThE",1,"foothills","grassland",600,346.410161513775,3
"NV8",2004,"TgD",1,"foothills","grassland",600,282.842712474619,2
"NV8",2004,"TgD",2,"foothills","grassland",1450,353.553390593274,2
"NV8",2004,"TgD",2,"foothills","woodland",1033.33333333333,838.649708360608,3
"NV8",2004,"ThE",1,"foothills","grassland",366.666666666667,251.661147842358,3
"NV8",2005,"TgD",1,"foothills","grassland",1400,848.528137423857,2
"NV8",2005,"TgD",2,"foothills","grassland",950,70.7106781186548,2
"NV8",2005,"TgD",2,"foothills","woodland",2466.66666666667,1266.22799421484,3
"NV8",2005,"ThE",1,"foothills","grassland",2800,1539.48043183407,3
"NV8",2014,"TgD",1,"foothills","grassland",875,35.3553390593274,2
"NV8",2014,"TgD",2,"foothills","grassland",850,848.528137423857,2
"NV8",2014,"TgD",2,"foothills","woodland",1816.66666666667,1164.40256498057,3
"NV8",2014,"ThE",1,"foothills","grassland",700,450,3
"PK2",1997,"Kc",1,"terraces","grassland",730,450.832563153994,5
"PK2",1997,"Kc",2,"terraces","grassland",NA,NA,0
"PK2",1998,"Kc",1,"terraces","grassland",1570,1032.95692068934,5
"PK2",1998,"Kc",2,"terraces","grassland",NA,NA,0
"PK2",1999,"Kc",1,"terraces","grassland",960,330.529877620768,5
"PK2",1999,"Kc",2,"terraces","grassland",NA,NA,0
"PK2",2000,"Kc",1,"terraces","grassland",888.888888888889,437.876821847322,9
"PK2",2000,"Kc",2,"terraces","grassland",300,NA,1
"PK2",2001,"Kc",1,"terraces","grassland",1655.55555555556,765.0344945019,9
"PK2",2001,"Kc",2,"terraces","grassland",1800,NA,1
"PK2",2002,"Kc",1,"terraces","grassland",1122.22222222222,519.080383413248,9
"PK2",2002,"Kc",2,"terraces","grassland",600,NA,1
"PK2",2003,"Kc",1,"terraces","grassland",NA,NA,0
"PK2",2003,"Kc",2,"terraces","grassland",NA,NA,0
"PK2",2004,"Kc",1,"terraces","grassland",772.222222222222,233.333333333333,9
"PK2",2004,"Kc",2,"terraces","grassland",1200,NA,1
"PK2",2005,"Kc",1,"terraces","grassland",1627.77777777778,804.716996492832,9
"PK2",2005,"Kc",2,"terraces","grassland",1000,NA,1
"PK2",2014,"Kc",1,"terraces","grassland",444.444444444444,170.375402502174,9
"PK2",2014,"Kc",2,"terraces","grassland",400,NA,1
"PL3",1997,"TuB",1,"terraces","grassland",480,439.602092806665,5
"PL3",1998,"TuB",1,"terraces","grassland",500,327.8719262151,5
"PL3",1999,"TuB",1,"terraces","grassland",1450,2297.28100153203,5
"PL3",2000,"TuB",1,"terraces","grassland",367,101.110500608658,10
"PL3",2001,"TuB",1,"terraces","grassland",1325,178.341121325272,10
"PL3",2002,"TuB",1,"terraces","grassland",425,185.965946703512,10
"PL3",2003,"TuB",1,"terraces","grassland",560,263.312235441753,10
"PL3",2004,"TuB",1,"terraces","grassland",700,362.859017617954,10
"PL3",2005,"TuB",1,"terraces","grassland",1165,518.571756526198,10
"PL3",2014,"TuB",1,"terraces","grassland",410,139.044357430761,10
"PL4",1997,"TuB",1,"terraces","grassland",1020,1704.2593699317,5
"PL4",1998,"TuB",1,"terraces","grassland",910,320.936130717624,5
"PL4",1999,"TuB",1,"terraces","grassland",690,470.903387118844,5
"PL4",2000,"TuB",1,"terraces","grassland",600,339.934634239519,10
"PL4",2001,"TuB",1,"terraces","grassland",1185,194.436507774532,10
"PL4",2002,"TuB",1,"terraces","grassland",470,147.572957474524,10
"PL4",2003,"TuB",1,"terraces","grassland",740,227.058484879019,10
"PL4",2004,"TuB",1,"terraces","grassland",640,368.781778291716,10
"PL4",2005,"TuB",1,"terraces","grassland",810,213.177026070926,10
"PL4",2014,"TuB",1,"terraces","grassland",635,328.337563424527,10
